,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
nsites,0.3637746065153509,-0.04651454337320006,0.12620605416917763,-0.024297658398146748,-0.2433103999890105,0.0801059375980162,0.08125817584194005,-0.15434749243236348,-0.03615185662215101,-0.03694665124359305,0.12116204226358543,-0.14190320233537462,-0.18520309144238997,0.21151597804449684,-0.02939892813853995
nelements,0.5118409339219324,0.10475420166643583,0.23144288124503412,0.07109978474764088,0.02606205002691235,0.08342531229017108,0.25794320740900756,-0.20784174729572927,0.12221069670380562,-0.022614905614543344,0.20121038722320683,-0.029188720401507915,-0.25301745407005877,0.36105428608004964,0.08852457802058561
volume,0.22527068017494783,-0.01817918425920649,0.0791144731175138,-0.028588569117581918,-0.25169719745479596,0.07609061512938878,0.0010771726342766416,0.0065674041152716375,-0.1319822528011361,-0.02301822012021393,0.04506659966698754,-0.0008953209735457795,-0.22847337556196495,0.31591062272884324,0.09724956060571724
density,-0.34913647691877225,0.42632161634650545,-0.12544078197610684,0.12692878973081487,0.010272065108428704,-0.20794595357242518,-0.0074735382671415,0.43768431537412944,0.1412584957105589,0.1843230237588352,0.08438539246782904,-0.004675477065626589,0.3138320209527838,-0.23897862364884542,-0.05267769141315539
density_atomic,-0.20273622789030027,0.011814092109596164,-0.004964131835769222,0.0033407472711632887,-0.022902083938703018,-0.007881569101269857,-0.03701541106547318,0.11621764107437912,-0.1342462132841765,-0.027997996770691765,-0.14238009314215536,0.13218849707131983,-0.05177914065753591,0.43157081001219016,0.07954608931705612
uncorrected_energy_per_atom,-0.28864053231800124,-0.0845630879787559,0.03572881050064032,-0.4741279097866994,-0.004902782065460145,0.09945821617086968,0.04172738774791886,0.07215998518774099,-0.2006144711403898,-0.15006854526954677,-0.19071865471385613,0.4039912873744037,-0.31993567214363744,-0.07864944786964335,0.09643478414382287
energy_per_atom,-0.39058184899369314,-0.07501331172859511,0.032460183078568045,-0.47221532717449904,-0.03474965508097617,0.12172551319602422,0.0414926450829117,0.09448530620665571,-0.22821169375056374,-0.12154548278675319,-0.15843349543007063,0.38671260917304645,-0.3081998251861197,-0.06766639882587781,0.10886179858924315
formation_energy_per_atom,-0.7452175315789854,-0.012470388810332762,-0.19895149748826182,-0.0798308601948982,-0.2281755836947146,0.195769077241515,0.04281508784392116,0.15046480633090994,0.03177692806966695,-0.07183199297058951,0.004709799322207103,0.1721035519717025,-0.06700961070701993,0.15523589363103357,-0.08645349518454358
band_gap,0.4222663485481653,-0.045041928640925225,0.08757838459363187,-0.14977105893896403,-0.01733492380012545,0.20794972597811462,0.032837159961054636,-0.09090023767385469,-0.15722389829654482,-0.07037390871573052,-0.015101771023777308,-0.19823141254761634,-0.03432139503299413,0.08670257313141197,0.10080994515767229
total_magnetization,0.1706807018031473,-0.11439985561076271,0.049357567152719564,0.06790579782602811,0.039574919657770734,-0.07959493024756438,-0.04729540227101854,-0.04690099267833101,0.42571299304675086,0.05701944251834666,-0.06645620928847253,-0.02019870687013634,0.049135802852876866,0.008498772459671703,-0.11406516837648738
total_magnetization_normalized_vol,0.09526995599497465,-0.12876206844586646,0.014274334102444107,0.10120867118775453,0.12601860087117517,-0.10721740703023985,-0.05767637289478095,-0.03443930992789822,0.5352049837167083,0.09623780620269252,-0.09307139597942343,-0.017315883441654422,0.12219630560163611,-0.07244784365108232,-0.16744760693074554
total_magnetization_normalized_formula_units,0.13350195210351795,-0.10380754693740184,0.050061069413957784,0.07973571885611556,0.07139483252294232,-0.10358196448003557,-0.03991727873602819,-0.05432234027490645,0.46211759888391213,0.052430853516115934,-0.07119471070659796,-0.009408160058365018,0.02333773389708213,0.006288249418171834,-0.11576703743176558
mean_EffectiveCoordination,-0.3710432786397042,0.1498172525187743,0.12061035264589545,0.07912125362863913,-0.39158751646028034,-0.1275660325815907,-0.05021830885657795,0.180826568516433,0.029827179016506652,0.1383084637776568,-0.024172950861541725,0.029704241218604658,0.1219138291111825,-0.509482121738523,0.16444556641035515
var_EffectiveCoordination,0.540403931290158,0.0057475783244819246,0.06081376613427379,0.09693663441032997,-0.34890664968900953,0.16410032782382852,-0.03763638331479614,-0.049142968989403256,0.07009818250789572,0.015461207286593682,0.2342696025443986,-0.024763162707594995,0.1880508244877006,-0.05572053969290992,0.19205960912889725
min_EffectiveCoordination,-0.7448021684655266,0.0667138535565785,0.02727696679194128,0.009702298542653658,-0.0800885836242114,-0.18046999028892224,-0.028020418056185593,0.19730215302794446,0.019077228431747858,0.11420460234596967,-0.08810195284704857,0.05516489002436322,0.04610478701625615,-0.35734619555369257,-0.039177685648687025
