,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
nsites,0.054572592973441546,-0.02557293264654881,-0.04170164430036388,-0.014975868245700021,-0.05879539185114228,0.00796160623570615,0.033008326721152476,0.031817802843272874,0.018998893334484505,-0.028966199495298824,0.024867467958688855,-0.06432413104397176,-0.033597492053414786,0.06281813755230846,-0.03442850843982256
nelements,0.08611749895707577,0.01697408090634958,0.004771307012730597,-0.03331841035065666,-0.018646099490050277,0.03786359515157811,0.07082004525052715,0.03071498889508427,0.06546651018962867,-0.02565881946876636,0.016434242236177683,-0.07186621582890262,-0.06763091960272573,0.127255721466808,0.0007430530451422619
volume,0.02850097104127125,-0.012835624674714968,-0.03974723350181536,-0.03424232054031161,-0.05728937693827796,-0.019105757729880025,0.01166540121527862,0.06144936939147891,0.010891952666279625,-0.048934146686562596,-0.01124808075466227,-0.024552907862560397,-0.07807235598530196,0.12084332938953299,-0.01884864363266095
density,-0.07661902041022843,0.0848378633422372,-0.007537860766937243,0.014609510356970626,0.03866926136537907,0.009566400671323017,0.0637078443201351,-0.0026578743679502304,-0.004129664060715889,-0.0043335606717641445,-0.044526033885870966,-0.029885593052216136,0.14852237619920694,-0.08765242054578518,-0.006162836260627552
density_atomic,-0.02844402324419462,0.0013956686879820213,0.009929505982495423,-0.035063024767971754,-0.004160080336275129,-0.0049676280290779085,-0.010987964472412626,0.019841391427587923,-0.023930210294937797,-0.02519173481211274,-0.043699256867139456,0.02111543885108844,-0.11557078624324221,0.1692593122486045,-0.060297022590208575
uncorrected_energy_per_atom,-0.034366544890934665,-0.03692143328166381,0.025247642817554206,-0.1147484406136354,-0.0031708192153594855,-0.09650836289012554,-0.07397816906801175,0.015040276734170022,0.03469932544544545,0.05465425820456116,0.034784001971684936,0.04052680748642262,-0.1387725885844414,-0.029471811225942002,0.09169075295076708
energy_per_atom,-0.0471303848071985,-0.035632561198135515,0.026932058848789076,-0.11711873447713671,-0.016324190003941252,-0.0848871323194798,-0.08121984251184386,0.019339477437337063,0.03829549655946573,0.045532085384693444,0.03992795052077411,0.03658898977115871,-0.13364842889957868,-0.023944050877111267,0.09112139304041281
formation_energy_per_atom,-0.09673616245779769,-0.04517149860066827,-0.006060554291692,-0.058738112383945246,-0.022607863209471835,0.058233428020981505,-0.000835359661923385,-0.01327068203224313,0.05441009517600695,0.006746267358365032,-0.012562844072140533,0.03265433893943133,-0.04984500423300406,0.06683082306561619,0.036297608542989634
band_gap,0.06214150455257938,-0.011311976219924844,-0.020286833089714906,-0.033210497058645816,-0.0378990968338277,0.0013474622761676242,-0.053937941653728505,0.01996499330407378,-0.03936895177404377,-0.022126012094662223,-0.035680556843832784,-0.05164400354773646,-0.007206146161843313,-0.004855873296578772,-0.02107347573977185
total_magnetization,0.020633506272564443,-0.015614886690718824,0.005155384774161317,0.06645420988569783,0.046909987840131145,-0.0037241750434939616,0.0537901896876484,-0.02410874633081872,0.06657572525452826,0.0449072535743195,-0.06540273329469598,-0.03763318197914203,0.0030284829163334387,-0.014163461844545339,-0.03188374866742237
total_magnetization_normalized_vol,0.009780076725122102,-0.013780933460129595,0.01945586631122144,0.08956413076591682,0.07163766567786442,0.006411621461260647,0.060012953540865555,-0.041178719619546306,0.072006021530413,0.0696493194908423,-0.07761921706153471,-0.03553876890067596,0.02419981223306302,-0.04618973540583307,-0.025607659980817377
total_magnetization_normalized_formula_units,0.017488024021536777,-0.014104077955339368,0.01175745227796889,0.06913793140710559,0.054053570912882806,-0.004206698456721836,0.06006506232226516,-0.03423768313668335,0.07349151222719341,0.04773361111768272,-0.06061088313359989,-0.04019547764620893,-0.0029469431938043134,-0.007351445994386155,-0.01826235124537376
mean_EffectiveCoordination,-0.06225391087806269,0.03583677845318082,-0.012583381875112414,0.023880268522849392,-0.0886566833350027,-0.06852993672657726,0.023972066066353964,-0.030907304651160594,0.07027362531418997,-0.03680770405815076,0.0008668402327014213,0.05670637178056519,0.1042447937417751,-0.1680994070997583,0.020168118178011896
var_EffectiveCoordination,0.061844046696283655,0.011922859541821842,-0.06970589807833051,0.008923728834804181,-0.04798332499161241,0.009376035512573488,0.01123966007568783,0.06663891523919092,0.07608417400127448,-0.057982113040867006,-0.05708885821421246,0.05399985560777312,0.108593960026133,-0.0472532998036412,-0.07006767096142541
min_EffectiveCoordination,-0.10280584201339078,0.01228820103577819,0.03940353242228604,0.019677646342933945,-0.027546348826632427,-0.034152129374100226,0.008961345204531568,-0.055752017313392355,0.023153923189099458,0.0044455598110414996,0.04256252135170094,0.013103541156827922,0.031027862187522556,-0.1082634456303408,0.04542651213399415
