,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
nsites,0.36377460651535076,-0.04651454337320008,0.12620605416917696,-0.024297658398146404,-0.24331039998901038,0.08010593759801597,0.08125817584194046,-0.15434749243236331,-0.036151856622150765,-0.03694665124359295,0.12116204226358553,-0.1419032023353746,-0.18520309144239072,0.21151597804449693,-0.029398928138539476
nelements,0.5118409339219322,0.10475420166643556,0.23144288124503315,0.07109978474764124,0.02606205002691323,0.08342531229017099,0.2579432074090076,-0.20784174729572893,0.12221069670380572,-0.022614905614543164,0.2012103872232068,-0.02918872040150783,-0.2530174540700595,0.3610542860800496,0.0885245780205861
volume,0.22527068017494797,-0.018179184259206425,0.07911447311751302,-0.028588569117581866,-0.2516971974547957,0.0760906151293887,0.0010771726342766938,0.006567404115271628,-0.1319822528011357,-0.023018220120214074,0.04506659966698762,-0.000895320973545498,-0.2284733755619653,0.31591062272884335,0.09724956060571757
density,-0.3491364769187719,0.42632161634650517,-0.12544078197610736,0.12692878973081456,0.01027206510842804,-0.2079459535724253,-0.007473538267141093,0.43768431537412955,0.14125849571055882,0.184323023758835,0.08438539246782946,-0.0046754770656263905,0.313832020952784,-0.23897862364884584,-0.05267769141315572
density_atomic,-0.20273622789030019,0.011814092109596108,-0.00496413183576957,0.003340747271163414,-0.02290208393870262,-0.00788156910126991,-0.03701541106547338,0.116217641074379,-0.13424621328417613,-0.027997996770691563,-0.14238009314215544,0.13218849707132033,-0.0517791406575358,0.43157081001219033,0.07954608931705621
uncorrected_energy_per_atom,-0.28864053231800113,-0.08456308797875595,0.03572881050064125,-0.4741279097866996,-0.004902782065460237,0.09945821617086979,0.04172738774791819,0.072159985187741,-0.2006144711403897,-0.15006854526954688,-0.1907186547138569,0.40399128737440326,-0.31993567214363683,-0.07864944786964277,0.09643478414382294
energy_per_atom,-0.39058184899369297,-0.07501331172859506,0.032460183078568544,-0.4722153271744991,-0.03474965508097652,0.12172551319602391,0.041492645082911526,0.09448530620665556,-0.22821169375056322,-0.12154548278675337,-0.1584334954300711,0.3867126091730458,-0.3081998251861189,-0.06766639882587754,0.10886179858924347
formation_energy_per_atom,-0.745217531578985,-0.012470388810332758,-0.1989514974882617,-0.07983086019489838,-0.22817558369471444,0.19576907724151504,0.0428150878439209,0.1504648063309098,0.03177692806966714,-0.07183199297058936,0.004709799322206975,0.1721035519717028,-0.06700961070701981,0.1552358936310339,-0.08645349518454379
band_gap,0.42226634854816536,-0.04504192864092528,0.08757838459363147,-0.149771058938964,-0.01733492380012542,0.2079497259781145,0.032837159961054616,-0.0909002376738548,-0.15722389829654446,-0.07037390871573067,-0.015101771023777206,-0.1982314125476165,-0.03432139503299454,0.0867025731314121,0.10080994515767268
total_magnetization,0.17068070180314718,-0.11439985561076273,0.04935756715271952,0.06790579782602846,0.03957491965777095,-0.0795949302475643,-0.047295402271018576,-0.046900992678331234,0.42571299304675037,0.057019442518346834,-0.06645620928847262,-0.02019870687013621,0.04913580285287711,0.008498772459671834,-0.11406516837648716
