,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
nsites,0.05457259297344153,-0.0255729326465488,-0.04170164430036374,-0.0149758682457,-0.05879539185114241,0.00796160623570627,0.03300832672115239,0.031817802843273076,0.018998893334484426,-0.028966199495298862,0.02486746795868906,-0.06432413104397203,-0.03359749205341421,0.062818137552308,-0.03442850843982264
nelements,0.08611749895707554,0.016974080906349692,0.004771307012730486,-0.03331841035065669,-0.018646099490050305,0.037863595151578104,0.07082004525052701,0.03071498889508456,0.06546651018962867,-0.02565881946876631,0.016434242236177822,-0.07186621582890328,-0.06763091960272516,0.1272557214668074,0.0007430530451421613
volume,0.028500971041270973,-0.012835624674714607,-0.03974723350181475,-0.0342423205403115,-0.057289376938278014,-0.019105757729880025,0.011665401215278426,0.061449369391479075,0.01089195266627939,-0.048934146686562915,-0.011248080754661799,-0.02455290786256159,-0.07807235598530188,0.12084332938953296,-0.018848643632661574
density,-0.0766190204102284,0.08483786334223709,-0.007537860766937465,0.014609510356970709,0.0386692613653791,0.009566400671322993,0.06370784432013508,-0.002657874367950147,-0.004129664060716028,-0.004333560671764311,-0.04452603388587104,-0.02988559305221461,0.14852237619920733,-0.08765242054578552,-0.006162836260627233
density_atomic,-0.028444023244194646,0.0013956686879819102,0.00992950598249523,-0.035063024767971865,-0.00416008033627524,-0.004967628029077881,-0.010987964472412737,0.019841391427587868,-0.02393021029493772,-0.02519173481211305,-0.04369925686713933,0.021115438851086955,-0.11557078624324256,0.16925931224860472,-0.060297022590209165
uncorrected_energy_per_atom,-0.034366544890934575,-0.03692143328166378,0.025247642817554206,-0.11474844061363546,-0.003170819215359527,-0.09650836289012568,-0.07397816906801169,0.015040276734169855,0.034699325445445406,0.05465425820456135,0.034784001971684644,0.04052680748642162,-0.13877258858444166,-0.02947181122594167,0.09169075295076716
energy_per_atom,-0.04713038480719842,-0.0356325611981355,0.026932058848789353,-0.1171187344771368,-0.016324190003941697,-0.08488713231947989,-0.08121984251184372,0.01933947743733693,0.03829549655946566,0.04553208538469353,0.0399279505207739,0.036588989771157876,-0.13364842889957904,-0.02394405087711088,0.09112139304041281
formation_energy_per_atom,-0.0967361624577976,-0.04517149860066824,-0.006060554291692,-0.05873811238394527,-0.022607863209471668,0.05823342802098149,-0.0008353596619232184,-0.013270682032242853,0.0544100951760072,0.006746267358365171,-0.012562844072140603,0.032654338939430635,-0.04984500423300439,0.06683082306561655,0.036297608542989274
band_gap,0.06214150455257929,-0.011311976219924849,-0.02028683308971488,-0.033210497058645816,-0.0378990968338277,0.0013474622761676797,-0.05393794165372867,0.019964993304073614,-0.03936895177404377,-0.022126012094662362,-0.035680556843832645,-0.051644003547736406,-0.007206146161842786,-0.00485587329657905,-0.021073475739771683
total_magnetization,0.02063350627256442,-0.015614886690718727,0.005155384774161276,0.06645420988569783,0.04690998784013117,-0.0037241750434939477,0.05379018968764837,-0.024108746330818498,0.0665757252545282,0.04490725357431937,-0.06540273329469601,-0.0376331819791421,0.0030284829163336746,-0.014163461844545117,-0.03188374866742261
