FA1,FA2,FA3,FA4,FA5,FA6,FA7,FA8,FA9,FA10,FA11,FA12,FA13,FA14,FA15,e_total,e_ionic,e_electronic,formula_pretty,Material ID
-2.194323324,-1.298588186,-1.58369576,-2.038336873,-0.788352665,1.711252856,-0.212818715,-3.082592881,-1.326712363,-0.713076453,-3.890489939,-1.156727722,-0.361486848,-3.203106406,-2.025001629,1.15524828,0,1.15524828,H2,mp-632250
-2.152393447,-1.308499475,-1.66894742,-2.039321424,-0.707259609,1.70478207,-0.237525205,-3.114448378,-1.355262835,-0.689314216,-3.970038405,-1.140010928,-0.408607987,-2.779774916,-2.076613928,1.247628367,6.67E-08,1.2476283,H2,mp-570752
-2.192298615,-1.288736449,-1.559890991,-2.064491349,-0.76674439,1.707843178,-0.19537829,-3.066279911,-1.277841809,-0.70778158,-3.841210643,-1.190290553,-0.363459507,-3.485612425,-2.057772226,1.261263267,6.67E-09,1.26126326,H2,mp-23907
-0.896247411,-1.644273155,-4.03047736,-1.867624127,-0.693350085,0.206421267,-1.222328843,-1.387878208,-1.255550598,-0.192769438,-1.894901956,-1.202007795,-0.801979064,-1.839058925,-0.978632227,1.39572475,2.00E-08,1.39572473,N2,mp-672234
-0.921484241,-1.634008106,-4.023245095,-1.860876139,-0.67097996,0.183178508,-1.199842277,-1.393176098,-1.212095869,-0.197462214,-1.846495426,-1.192847337,-0.806904499,-2.110164493,-0.997998453,1.40798192,1.03E-06,1.407980893,N2,mp-12103
-1.979257398,-1.36618088,-1.879957793,-1.921374749,-0.773534546,1.679781497,-0.297557076,-3.145330696,-1.561347944,-0.654830394,-4.193782329,-1.210645482,-0.168845424,-1.085474671,-2.056208393,1.53108903,3.33E-09,1.531089027,H2,mp-632291
-0.616402409,-1.699324319,-4.217192284,-1.69297194,-0.830925699,0.083516111,-1.253928305,-1.31367671,-1.571369068,-0.177291499,-1.947969862,-1.52474616,-0.347770261,-0.382676453,-0.9509202,1.53145984,0.00185455,1.52960529,N2,mp-154
-1.980002515,-1.370004917,-1.89448859,-1.910950753,-0.773395146,1.677647179,-0.303885022,-3.156476882,-1.571809501,-0.653806504,-4.217265863,-1.194470183,-0.171647916,-0.959350631,-2.051354223,1.55239453,3.33E-09,1.552394527,H2,mp-850274
-0.641013148,-0.831589369,-0.542232178,-0.137216989,-1.260309266,2.983629735,1.370413938,-1.115840166,-0.888413899,-0.622487296,0.540450183,-1.949866258,-0.23496691,-2.230503752,-1.769013711,1.661730977,0.01087242,1.650858557,H4C,mp-1021328
-0.615978748,-0.967744807,-2.039414547,-1.595161691,2.749471045,3.03104854,0.673290243,-0.939292336,-1.121579365,-0.288176977,-2.114005832,-0.244136947,0.546956255,-0.617751003,-0.820277259,1.83444631,0.004384887,1.830061423,HCl,mp-684609
-0.180141544,-1.722951638,-4.157328821,-1.809163604,-0.57411173,-0.25036957,-1.60648915,-0.418333341,-1.755646407,-0.124400001,-2.819957925,-0.54716407,-1.108312659,-0.384550609,-0.7394391,1.896648767,0.379912777,1.51673599,Cl2,mp-570778
1.287611451,-1.322081878,-2.206137305,-0.261065484,-0.998538299,0.901688099,-0.972956684,0.713162068,-0.999210866,-0.666822025,0.045315264,-1.806226538,0.25298747,-1.177929927,-1.445149297,1.927902043,0.295954993,1.63194705,CF4,mp-1167
0.726670772,-1.318817583,-2.86106566,0.12091165,-0.160023561,1.102939726,-0.937685143,0.489907556,-0.786026452,-0.779541044,0.123367983,-2.171876644,0.410733157,0.420839639,-1.361500042,2.07646826,0.193456073,1.883012187,CO2,mp-556034
0.764101499,-1.324664618,-2.824312736,0.131884064,-0.264142593,1.12339345,-0.926140656,0.529996886,-0.760959386,-0.778869111,0.166089192,-2.173126331,0.461353786,0.338966848,-1.331264916,2.077496053,0.212375633,1.86512042,CO2,mp-20066
0.726404606,-1.339689185,-2.8696288,0.084404474,-0.254355498,1.060406378,-0.932703228,0.477294855,-0.772146654,-0.763335119,0.104761804,-2.140872996,0.453287397,0.424451585,-1.318055453,2.112508733,0.221783783,1.89072495,CO2,mp-11725
-0.427540172,-0.307006349,-2.193227136,-0.596064813,0.062977685,-0.49653558,0.694601874,-0.338949277,-0.366941615,-0.227369246,0.882567574,0.71718137,-0.698788003,0.969334796,-0.319270236,2.129172643,1.129172643,1,Si3Ag3(SnP3)2,mp-18310
0.919361789,-1.524113019,-2.806833578,-1.671614816,-1.152003128,-0.086985989,-1.452836813,-0.304099293,-1.268777913,0.077234092,-1.188413852,-0.820067816,0.530812087,-0.811965335,-0.466880527,2.145893997,0.444654513,1.701239483,PF5,mp-8511
0.779177113,-1.454038555,-3.509949686,-1.693723277,-1.05740794,-0.197534282,-1.320797088,-0.415656029,-1.169203909,-0.031624865,-1.770018456,-0.943371999,0.191462693,-0.543002039,-0.317522481,2.14752879,0.433110917,1.714417873,SF6,mp-8560
0.712455893,-1.317549456,-2.876789311,0.122714167,-0.127257987,1.092984063,-0.936267753,0.477601082,-0.781609261,-0.782341936,0.123506841,-2.166388614,0.414824403,0.391374337,-1.366291549,2.16252577,0.197198583,1.965327187,CO2,mp-644607
1.29947913,-1.406098596,-1.726036881,-1.014328969,-1.078902152,-0.083393488,-1.173093354,0.252832934,-1.100197368,-0.33741633,-0.281157576,-1.189172645,0.853375762,-1.051494475,-0.838159532,2.16889963,0.538604293,1.630295337,SiF4,mp-1818
1.336374812,-1.548893366,-1.318377833,-0.638169717,-1.009292997,0.159379475,-1.195889086,0.490490001,-1.266061437,-0.394156073,0.666389278,-1.191197304,0.7531159,-0.928446656,-1.478679434,2.18867938,0.563808523,1.624870857,BF3,mp-558149
0.609606055,-1.272414455,-1.803215501,-0.484759464,-0.688845657,0.61502871,-1.28938195,0.312318145,-1.264602395,-0.450411132,0.69026293,-0.906522383,0.003749708,-0.82383452,-0.482764115,2.195219853,0.16372906,2.031490793,BCl3,mp-23184
1.09115712,-1.105445632,-2.479672485,-0.133840093,-0.671405065,1.041770441,-0.892643576,0.578507576,-0.760102683,-0.623429258,0.316625178,-1.650357418,0.254642653,-0.210692347,-0.651751205,2.213265673,0.33209927,1.881166403,CClF3,mp-28473
0.554975669,-1.786687787,-3.141809582,-1.51285808,-0.846381954,1.156743971,-1.281113615,-0.115326303,-0.87230618,0.060544661,-1.110389186,-0.858315339,0.267759059,1.190557551,-0.819769882,2.287834197,0.32852852,1.959305677,NO2,mp-557865
1.794082973,-1.497503851,1.014941892,-0.92539759,-0.618940622,1.081134394,-1.45916405,1.151990398,-0.879450206,-0.660725024,-1.188595058,-0.914769598,1.045969154,-0.729122532,-1.71527417,2.287892913,0.85009695,1.437795963,BeF2,mp-559400
0.61940846,-1.475996613,-3.447073488,-1.524819723,-0.333134507,0.33317524,-1.268868044,-0.247367062,-0.820257791,0.05445597,-1.183650051,-0.777610621,0.468425415,1.202177107,-0.108291505,2.325346723,0.525786173,1.79956055,S(OF)2,mp-8537
1.129099625,-0.610458654,-2.432820458,-1.160111832,-1.457859617,-0.029370642,-1.122046919,-0.478679208,-0.774104537,-0.200903589,-1.071423362,0.991790278,0.501522304,-0.955551384,-0.580332348,2.353924337,0.537385497,1.81653884,AsF5,mp-8723
0.325993027,-1.099941118,-3.187916691,0.220672091,0.388165332,1.312815739,-0.909029327,0.303608796,-0.583215109,-0.769511861,0.519087712,-1.956678228,0.464314001,1.601022527,-0.248075496,2.364603643,0.18930882,2.175294823,CSO,mp-28240
0.689097036,-0.373438844,-2.026958969,-0.102537967,-0.939658382,0.286603231,-1.091241397,0.613090424,-0.988445847,-0.585639311,0.762272601,1.819336792,-0.169703679,-0.754055506,0.021266759,2.371682143,0.150870303,2.22081184,BBr3,mp-23225
0.777881417,-1.455844761,-3.469845315,-1.693910165,-1.124763579,-0.2021822,-1.307482905,-0.395708436,-1.144939756,-0.036837948,-1.708898439,-0.951284535,0.247777612,-0.725407139,-0.288191726,2.374832827,0.615616167,1.75921666,SF6,mp-975
0.699719284,-1.595788354,-1.624874883,-0.969955715,-0.889592179,0.390603454,-1.351798364,0.723728736,-1.270193883,-0.36786744,-0.143641887,-0.918700654,-0.334908244,-0.957264463,-0.841860445,2.40144906,0.29163419,2.10981487,SiCl4,mp-28391
-0.89286523,-0.766732022,0.000361429,-1.054293387,-1.789467387,2.967304969,0.888114407,-1.765702666,-0.741117651,-0.22786273,-0.246441849,-1.201000348,-0.30394193,-1.689139031,-1.054945265,2.413913567,0.200604917,2.21330865,SiH8,mp-972825
0.883415055,-1.160918348,-2.539473059,-0.123548635,-0.266338284,1.202708283,-0.923263624,0.651952191,-0.752332948,-0.632388599,0.473102751,-1.486085165,0.338367878,0.311031933,-0.491104886,2.428072657,0.41171022,2.016362437,C(ClF)2,mp-22966
0.932750537,-0.013473988,-3.211449078,-1.361082573,-1.465639919,-0.267604209,-1.080357964,-0.976426735,-0.677040685,-0.156497767,-1.780586756,0.901190854,0.267141826,-0.990275242,0.156634435,2.43962579,0.584732343,1.854893447,TeF6,mp-1396578
0.981215507,-1.33262327,-2.347413696,0.073351871,-0.253949558,1.322429668,-0.878212487,0.781521895,-0.602192522,-0.643763743,0.578277956,-1.828187623,0.305447606,1.162584798,-1.293965793,2.461572583,0.584847573,1.87672501,C2O3F2,mp-31306
0.939448532,-0.013543292,-3.196638302,-1.360297405,-1.495161651,-0.2717134,-1.083396221,-0.973262951,-0.68158178,-0.151914129,-1.767645267,0.894471049,0.242787493,-0.927115471,0.165939781,2.465750987,0.60122626,1.864524727,TeF6,mp-1875
-0.867521102,-0.753141414,-0.045820556,-0.837964012,-1.263542203,3.41281795,1.088273152,-1.520329915,-0.775456107,-0.240635058,0.213623602,-1.12035982,0.161971271,-2.40946657,-0.926285249,2.47443799,0.259201757,2.215236233,SiH4,mp-23739
0.641003677,-0.008395183,-4.156065175,-1.496835427,-1.389485698,-0.247324811,-1.163299867,-1.271856847,-0.728066931,-0.090352723,-2.396963106,0.970495446,-0.38006561,-0.298990494,0.570462121,2.502760137,0.52536326,1.977396877,IF7,mp-27988
0.027478623,-0.888990093,-0.068256894,-0.04610459,-0.524721479,3.547203237,1.136625035,-0.243949965,-0.58302231,-0.569588434,0.571463034,-1.476515119,0.529421139,-1.078788705,-2.007022843,2.50312693,0.357175773,2.145951157,H4C2O,mp-995219
0.864734472,-1.533771124,0.407389485,1.247111856,-0.703604609,1.052505742,-1.582255313,0.933424769,-1.252325852,-0.210034528,-1.606972691,0.072233895,-0.439704242,-1.277343579,-0.616660043,2.516907557,0.245253517,2.27165404,TiCl4,mp-30092
0.513485123,-1.781009858,-3.129153604,-1.5301197,-0.78117248,1.167787358,-1.279734455,-0.139075719,-0.875365333,0.058303636,-1.1391679,-0.833801456,0.312613776,1.015360856,-0.871960222,2.551469053,0.323592843,2.22787621,NO2,mp-1771
1.410496072,-0.374922812,-1.078241132,0.65626623,-1.49287497,0.152765921,0.685372473,0.040722763,-0.646628936,-0.102712749,-1.407735615,-0.366839924,0.131521502,-1.776971716,-0.793190977,2.554874287,0.633655837,1.92121845,MoF6,mp-558836
0.726280738,-1.022340535,-1.702297909,-0.93875337,-1.104235492,0.34104903,-1.287369362,0.28018831,-1.05364764,-0.243062703,-0.267760595,1.310634697,-0.347815969,-0.94143345,-0.858725576,2.564171893,0.396589943,2.16758195,GeCl4,mp-30086
1.69578272,-1.489683232,0.910882636,-0.956057079,-0.33347772,1.039115953,-1.460722298,1.090272016,-0.899324086,-0.671527374,-1.235982497,-0.941732091,1.015617166,-0.893098565,-1.771585851,2.56827766,1.05125022,1.51702744,BeF2,mp-561543
1.290781173,-1.151663261,-0.281941423,-1.514679145,-1.041099906,1.610209607,0.314717995,0.214739447,-0.803594969,0.09855393,-0.516468705,-0.609058045,0.636589671,-0.75573344,-1.154122171,2.58510208,0.791876273,1.793225807,PHF4,mp-29514
0.813825696,1.350481761,0.30154935,0.559786057,1.408335156,0.529087674,0.914923561,0.537794649,-0.163525003,-0.807822685,-1.294783706,-1.165428943,-0.465010995,-1.31059834,1.594866384,2.599277753,0.592619587,2.006658167,K3WF6,mp-555403
0.745377621,-0.727261681,-1.880144758,-0.596385606,-1.12355891,0.001127617,-1.144420292,1.057662045,-1.018223327,-0.494377813,-0.07005643,1.696201461,-0.806999168,-0.764088988,-0.450877942,2.608811343,0.265287963,2.34352338,SiBr4,mp-570285
0.236012071,-0.901303629,0.316597995,-0.867580872,-0.379648604,3.524956943,0.931615217,-0.482661504,-0.747062274,-0.219401557,0.049011256,-0.649278832,1.04212642,-1.92671684,-1.319064889,2.620371547,0.63201313,1.988358417,SiH3F,mp-28289
0.480431407,-1.777517605,-3.147390722,-1.534229205,-0.717150322,1.159837367,-1.284083968,-0.160871459,-0.885345405,0.053084537,-1.160228162,-0.828918365,0.292678633,0.97764071,-0.883268359,2.632828977,0.40699872,2.225830257,NO2,mp-2789
0.98179106,-1.411760109,-1.847158329,-0.755437713,-0.728929473,0.640499954,-1.158851201,0.625496407,-0.789945849,-0.298852305,0.280361194,-1.017079776,0.436110548,0.758163231,-0.223006904,2.637430347,0.488414187,2.14901616,SiCl2O,mp-23563
0.951500493,2.112719822,-0.78251116,0.59174989,-1.199546079,-0.233434376,-0.850143726,-0.064451708,-0.52161948,-1.033966991,-0.552545623,-0.454310656,0.348285591,-1.339580031,-1.338405454,2.64446985,0.166108026,2.478361825,OsO4,mp-551905
0.835738696,-0.528472129,0.072286523,0.3812093,1.297913885,0.508487493,1.080516045,0.321312891,-0.381731558,-0.539708265,-1.338217733,-0.444624031,0.832764956,-1.55848893,1.918608859,2.697215493,0.6728219,2.024393593,K3MoF6,mp-553896
1.279321182,-0.694621438,-1.907628586,-0.987549937,-1.275093158,-0.126054862,-1.081481918,-0.304170421,-0.833128668,-0.228062572,-0.400452096,1.075767615,0.797089704,-1.124498959,-0.691993805,2.725239927,0.938544317,1.78669561,GeF4,mp-9816
-0.153158029,-1.197733586,0.505005569,-0.219427224,-0.321611043,1.632497645,0.404176904,0.10749471,-0.447985953,-0.524475911,1.479628307,-2.19078381,-0.381107266,1.539411268,-0.846356437,2.73396185,0.58604512,2.14791673,LiB(CN)4,mp-13590
-0.489388246,-1.04169726,-1.875641471,-1.550935476,2.125120427,3.014623112,0.626460778,-0.806504838,-1.065425698,-0.293174604,-2.038948324,-0.232326033,0.826547068,-0.797291327,-0.763713029,2.742736813,0.72285942,2.019877393,HCl,mp-632326
0.652155802,-1.462902213,-3.335771933,-1.506458867,-0.714599667,0.22746052,-1.284561181,-0.302294843,-0.867107467,0.040309711,-1.150146849,-0.830807976,0.501483121,1.097891136,-0.072023626,2.75039266,0.755311797,1.995080863,S2O5F2,mp-28676
1.023759744,-1.200700413,0.505492866,-0.815525598,-0.530920017,1.523019994,-1.501999429,0.948268874,-0.864830586,-0.709406475,-1.094228608,-0.629375969,0.133719824,-0.392557607,-0.741824759,2.762506407,0.79654716,1.965959247,BeCl2,mp-569030
0.406720569,-1.78867578,-2.537668571,-1.56307823,-0.634972193,0.280077795,-1.593084203,0.273734729,-1.46595899,0.039795719,-0.997557373,-0.419076101,-0.365589406,-0.320919852,-0.727104522,2.772212333,0.45742515,2.314787183,PCl3,mp-23230
0.0230941,-0.924159395,-0.386060351,0.017912513,0.232484047,3.857283465,1.025470346,-0.080090183,-0.582974082,-0.620211582,0.444434677,-1.450496318,0.688251403,-1.169900449,-1.99401647,2.772323933,0.60338849,2.168935443,H2CO,mp-23683
0.902953063,-0.227660603,-1.686772227,0.390134836,-1.375664841,-0.832038448,1.04014639,-0.480398918,-0.587303299,-0.372906997,-0.320871149,-0.080902584,0.984233441,-1.413775834,-0.749536786,2.772858653,0.153550413,2.61930824,RuO4,mp-554791
0.124137127,-1.134473683,-3.399343774,0.281664412,0.402487869,1.917697199,-0.87100846,0.400100691,-0.531772188,-0.727335139,0.818853583,-2.037809325,-0.126437984,1.359486184,-0.119490263,2.77996455,0.244749107,2.535215443,CNCl,mp-571324
-0.573959291,-1.784245264,-3.878960078,-1.663794847,-0.884173471,-0.930409774,-1.660672028,-0.981794742,-1.860500691,-0.018556195,-2.288683971,-0.87722969,-0.737595814,1.498216809,-0.61058945,2.780654887,0.119182077,2.66147281,P,mp-1014013
0.921656197,-1.19233656,0.261854922,1.538938706,-0.801692566,0.707293931,-1.438742391,2.0295461,-1.149598316,-0.431226854,-1.477951868,1.941148545,-1.249336394,-0.957260607,-0.378772066,2.78068688,0.21221508,2.5684718,TiBr4,mp-569814
0.526701198,-1.439040266,-3.804477537,-1.573387641,-1.127144347,-0.107177778,-1.2719376,-0.537547728,-0.933692741,-0.026933825,-1.699400996,-1.178245523,0.504282777,0.834872666,0.104017214,2.7841031,0.68207452,2.10202858,SO3,mp-2414
0.503320579,-1.468063442,-3.464569173,-1.508040917,-0.149458595,0.417280353,-1.277736711,-0.283150686,-0.784843034,0.0759039,-0.958073684,-0.691547,0.465974433,1.860389108,0.086197569,2.790844837,0.729535063,2.061309773,SClO2F,mp-554012
0.158266774,-1.088152302,-0.337864682,-0.787221398,0.741022692,2.847460279,0.73970397,-0.297090889,-0.814406844,-0.126008246,0.380108902,-1.009662258,0.190438986,0.130080647,-1.98220905,2.807683157,0.707499027,2.10018413,B(HO)3,mp-759069
0.95234589,-1.413440669,-1.85094338,-0.759724407,-0.709668213,0.62991898,-1.148482646,0.612830905,-0.774758739,-0.305195643,0.289291625,-1.008557617,0.488918659,0.632252711,-0.235126332,2.811546297,0.622360597,2.1891857,SiCl2O,mp-23079
-0.208104071,-1.701441486,-4.103646907,-1.821690285,-0.626390704,-0.234223497,-1.538890181,-0.375842803,-1.651545851,-0.141913215,-2.703896431,-0.59039822,-0.963077191,-1.080012516,-0.739943366,2.826333297,0.19464537,2.631687927,Cl2,mp-22848
-0.407859379,-1.369083368,-3.825869569,-0.051096261,-0.571629444,1.093861802,-0.768871777,-0.28848918,-0.705220976,-0.775966066,0.215057554,-2.652788234,-0.168003114,1.391164009,-0.502454478,2.82888748,0.443869243,2.385018237,C5N4,mp-651723
-0.199467608,-0.925605558,0.113272029,-0.131748499,-0.541172708,3.587261223,1.110149277,-0.541797442,-0.633605417,-0.396620159,1.116049597,-1.345861203,0.310060989,-0.78906253,-1.846534063,2.835247183,0.521493823,2.31375336,B3H7CO,mp-696308
-1.195799929,-1.174229296,-0.609500284,-0.613781165,-0.593088549,2.924182254,0.932532084,-1.52407897,-0.87166549,-0.248871845,0.87256713,-1.34604104,0.145397706,-0.959548392,-1.530310755,2.853450847,0.441168257,2.41228259,B3H5,mp-29721
-0.028311066,-0.846319686,0.265675613,-0.795036366,-0.892196158,3.428132255,0.943258153,-0.784601054,-0.698490432,-0.209430091,0.196691359,-0.811083687,0.829773377,-1.767455579,-1.174831347,2.85816471,0.672012857,2.186151853,Si2H6O,mp-27949
0.751820408,-1.516646957,-2.670844416,-1.508047488,-0.418245574,0.513188956,-1.332805163,-0.076277323,-0.838517666,0.153813533,-0.546482824,-0.569969895,0.575482318,1.446051501,-0.182534943,2.88180164,0.91197289,1.96982875,PClOF2,mp-558681
0.629249057,-1.50765211,-3.199513028,-1.54867437,-1.110843006,-0.120972094,-1.386972896,-0.472009689,-1.028988706,0.095612239,-1.012833937,-1.082645188,0.766925664,0.610181921,-0.05796973,2.88233736,0.720954527,2.161382833,P2O5,mp-562613
1.199753818,-1.40814479,-2.209625373,-0.765222157,-1.11523413,-0.475961149,-1.027449036,0.227017403,-0.835051884,-0.374697128,0.153886213,-1.619048693,1.117408231,0.345030517,-0.397037324,2.88988673,1.111812423,1.778074307,SiO2,mp-17909
