Feature,trans_Pearson,trans_Spearman,trans_Kendall,trans_DistanceCorr,origin_Pearson,origin_Spearman,origin_Kendall,origin_DistanceCorr
nsites,-0.21988857713997373,-0.296693897410433,-0.20692230743581194,0.3081077417932003,-0.0283425193271638,-0.03528333286603478,-0.024879909418852902,0.0816846655360182
nelements,-0.29850788270395323,-0.3559450435494492,-0.24719217516950096,0.35390897624860074,0.0032081766663438274,-0.001887757242409719,-0.0015421499101691077,0.02186049645649172
volume,-0.022074638614159016,-0.07474864963873884,-0.05132866511059242,0.15213649344211708,0.001840060073839047,0.022359087303697157,0.015254605491831769,0.05870254220522824
density,0.6025856798696507,0.5870810518978946,0.41769701011448257,0.584613527486928,0.3317601162784498,0.5449329914637493,0.3824383037886687,0.4238613212880123
density_atomic,0.3679735933460624,0.38842894449210486,0.2735089474269201,0.3830961454394965,0.05376046995600893,0.08510615788428588,0.05444907890163365,0.08643217437015645
uncorrected_energy_per_atom,-0.31528300286767513,-0.15337305126367237,-0.10103812381905079,0.29916403152599313,-0.1631973227863858,-0.1861513792875209,-0.12080726451164407,0.19627522757148247
energy_per_atom,-0.2790304819583253,-0.12458867606540844,-0.08142580860286762,0.2695507081319575,-0.1456801396750583,-0.16978150204156034,-0.11051007994438651,0.17646852221533074
formation_energy_per_atom,0.3749298312244407,0.35827670958630103,0.2446988996332111,0.35321158677583936,-0.06895925593524391,-0.051793119892708205,-0.03474104970455335,0.09298154161215784
band_gap,-0.6690049631235506,-0.620540714726746,-0.44628431699455373,0.6235608297449137,-0.2093849876416249,-0.32996998242592573,-0.22333990184879696,0.2585550010658362
total_magnetization,0.13712820662015102,0.017662661962517992,0.012468600644659331,0.16684733354716616,-0.028810954892893384,0.0057243591720885474,0.005847599643940737,0.07203201282985353
total_magnetization_normalized_vol,0.17717156261289635,0.06392972799219199,0.04367633655662999,0.1757116706106783,-0.037664152164619595,0.000781491111366585,0.001813172782674583,0.07550112248321561
total_magnetization_normalized_formula_units,0.17614317161283138,0.04895223077247008,0.03341913971323775,0.18456141003307813,-0.032623694196018946,0.0040528576183328675,0.0040371410937772466,0.07374282860010237
mean_EffectiveCoordination,0.512262855492549,0.4749462794384754,0.32789463154384796,0.5038798288014307,0.21995645184451906,0.21766106789414555,0.14557026188549152,0.2662367382412788
var_EffectiveCoordination,-0.1269352440326264,-0.23343750415972267,-0.16074691563854618,0.25255633811383693,0.06111907013084656,0.00454718590508791,0.004013856593450433,0.1357643024831579
min_EffectiveCoordination,0.5176127093140217,0.5186221531802392,0.3616641102589752,0.5123790243761035,0.167103090458642,0.25164389621188094,0.1719054799071058,0.251294118839856
max_EffectiveCoordination,0.3501718366866593,0.24590044554449392,0.16208113815716352,0.3601115085015366,0.17158151558203202,0.15443224157772453,0.10524352363119358,0.24952250487985003
var_MeanBondLength,-0.35001760726472875,-0.40970453174494786,-0.28545648549516506,0.3967670518622382,-0.10453163653463461,-0.17589382369942824,-0.11877282255115146,0.16888560117504248
min_MeanBondLength,0.375687212729488,0.4103942513771389,0.28358208291652776,0.39220618764827014,0.062072847608250874,0.15538175537424107,0.10153647714963593,0.17188813420571994
max_MeanBondLength,-0.4443748212559503,-0.5003067755896417,-0.3527086806713349,0.4844836250487896,-0.0305653678785635,-0.08409962197144927,-0.058246004311796655,0.09888675315283499
mean_BondLengthVariation,-0.1001769058156283,-0.0812922636991404,-0.051601644992775364,0.20619768676009836,-0.30294432303028557,-0.35895998984794597,-0.2477012745768951,0.33977415035253944
var_BondLengthVariation,-0.48097120495350876,-0.5097145908571767,-0.35649527620317883,0.490403214694595,-0.14783177400482517,-0.17133985059905776,-0.11596851390406479,0.1917026421280706
