0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,e_total,e_ionic,e_electronic,formula_pretty,Material ID
-0.32857123,-0.021819165,-1.2464359,0.46543023,0.6127317,1.5819685,0.18065773,0.90511113,-0.10251641,1.6399751,-0.43614393,-0.5704002,0.42402205,-2.3196228,-0.7843868,1.15524828,0,1.15524828,H2,mp-632250
-0.17640013,0.4643642,-1.1818593,0.72166723,0.41710833,1.5879496,-0.014053238,1.1668175,-0.42967343,1.3253208,-1.1539699,-0.44834793,0.49803188,-2.163333,-0.6136223,1.247628367,6.67E-08,1.2476283,H2,mp-570752
-0.47700775,-0.5843648,-1.0932097,0.6365453,0.46116805,1.7501248,-0.016975034,0.84731185,-0.06121937,2.0208387,-0.7281516,-0.7276121,0.32143414,-1.8177241,-0.53115875,1.261263267,6.67E-09,1.26126326,H2,mp-23907
0.29477873,-0.15714443,-1.3733194,0.61817575,0.42323884,1.2674776,-0.31455016,0.7083846,-0.40372464,2.137276,-0.26988688,-0.62624335,0.464468,-2.0875292,-0.68140143,1.39572475,2.00E-08,1.39572473,N2,mp-672234
0.011416491,-0.36716354,-1.2106537,0.26431626,0.31960303,1.1475347,-0.56272477,1.3505187,-0.33533686,1.9775312,-0.32494825,-0.11829871,0.7900958,-2.052148,-0.88974226,1.40798192,1.03E-06,1.407980893,N2,mp-12103
-0.09067592,0.10425895,-0.9461057,0.33339053,0.21194917,1.8603039,-0.41703188,0.84648025,-0.5324261,1.7298049,-0.8735971,-0.3409543,1.0450361,-1.6021281,-1.3283049,1.53108903,3.33E-09,1.531089027,H2,mp-632291
0.9356017,0.45938656,-2.111761,0.21126708,0.728031,1.0926582,-0.1892595,1.0655783,-0.95503336,1.3581079,-0.9102461,-0.8137743,0.8505313,-1.0370848,-0.68400294,1.53145984,0.00185455,1.52960529,N2,mp-154
0.3998175,0.114869885,-1.5176198,0.5398148,0.57018375,1.1906272,0.054056786,1.0595466,-0.6498078,1.5060931,-0.88546365,-0.9178363,1.2065982,-1.445666,-1.2252142,1.55239453,3.33E-09,1.552394527,H2,mp-850274
0.12190534,-0.12165,-1.3425944,0.36480588,0.94129974,1.1730418,-0.059398405,0.9279196,-0.63286984,1.9607972,-0.5983081,-1.0215228,0.88100696,-1.5416756,-1.052758,1.661730977,0.01087242,1.650858557,H4C,mp-1021328
0.020847075,-0.4721711,-1.4642076,0.643195,1.0653014,0.5902577,-0.28592208,1.5268102,-0.6178796,1.897781,-0.8852344,-0.7787649,0.86116576,-1.0603778,-1.0408006,1.83444631,0.004384887,1.830061423,HCl,mp-684609
