0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,e_total,e_ionic,e_electronic,formula_pretty,Material ID
1.6579293,-1.2205278,0.12650275,-0.59593254,0.575781,-0.4306948,1.3194455,-0.44667774,-1.3075336,-0.27405342,0.16649528,0.86602926,0.0051255967,-1.8446256,1.4027369,1.15524828,0,1.15524828,H2,mp-632250
1.7360575,-1.272658,-0.20557997,-1.0521005,1.2441128,0.26942274,1.0791519,-0.7906987,-0.8008723,-0.20298363,0.86529493,0.358869,0.1474831,-1.968194,0.5926953,1.247628367,6.67E-08,1.2476283,H2,mp-570752
1.8862576,-1.1491556,-0.33769256,-0.33203116,0.97462106,0.44936103,1.0006217,-0.8292945,-1.452462,-0.63205665,0.48408377,-0.09785311,0.07300034,-1.4845066,1.4471071,1.261263267,6.67E-09,1.26126326,H2,mp-23907
2.034609,-1.0285759,-0.033372596,-1.1728452,0.8360101,0.54298204,0.7770786,-0.43796694,-0.8587385,-0.6363236,1.139528,-0.14649142,0.11731902,-1.8928821,0.75966924,1.39572475,2.00E-08,1.39572473,N2,mp-672234
1.8743651,-1.1744587,-0.527843,-0.5160909,1.1826864,0.06661887,0.64246285,-1.2376542,-1.0180248,-0.6850434,1.2484027,0.29385978,0.21479888,-1.3968697,1.0327903,1.40798192,1.03E-06,1.407980893,N2,mp-12103
1.4897898,-0.5947612,-0.2406219,-1.2419044,1.4945229,0.12681213,1.1899377,-0.48826405,-1.3577999,-0.70932114,0.1207383,0.34008452,-0.1751895,-1.4625458,1.5085223,1.53108903,3.33E-09,1.531089027,H2,mp-632291
2.073864,-0.5236595,-0.43568707,-0.30343792,1.3074332,-0.31482345,0.642242,-0.45113325,-1.7058585,-0.52378833,0.8479931,0.489492,-0.10991743,-1.7354143,0.74269545,1.53145984,0.00185455,1.52960529,N2,mp-154
1.531448,-1.1009322,-0.2848198,-1.0041819,1.5256134,0.2602034,1.0541539,-0.63840103,-0.75528103,-0.79653215,0.7032976,0.38297328,0.41508022,-1.9851615,0.69253975,1.55239453,3.33E-09,1.552394527,H2,mp-850274
2.4104395,-1.3856937,-0.4069776,-0.16406204,0.5102996,0.23144649,0.45378307,-0.8662799,-0.61285716,-0.5565469,1.3548845,-0.13305856,0.2620176,-1.6882337,0.5908389,1.661730977,0.01087242,1.650858557,H4C,mp-1021328
1.4636643,-0.74689,-0.2549986,-0.9094404,1.2895004,0.38826564,1.1639366,-1.0538671,-1.3286307,-0.631351,0.9494446,0.39280814,0.35470074,-1.8040959,0.72695285,1.83444631,0.004384887,1.830061423,HCl,mp-684609
1.3464898,-0.053782742,-0.3144632,-0.051198572,1.2733847,-0.3530254,1.21208,-1.0545938,-1.5698578,-0.99754757,0.3514523,0.6366597,-0.032220677,-1.7277263,1.3343495,1.896648767,0.379912777,1.51673599,Cl2,mp-570778
1.8857182,-1.3984092,-0.093864925,-0.052141387,0.7327511,0.14153136,0.28303435,-0.5143778,-0.91569746,-1.1366061,0.83840394,0.3731502,0.33995938,-1.8803576,1.3969058,1.927902043,0.295954993,1.63194705,CF4,mp-1167
1.645788,-1.2938424,-0.26949295,-0.8271693,1.0665848,0.21840991,0.086687736,-0.52072,-0.70405155,-1.2449312,1.2244,0.08692133,0.3403819,-1.4390904,1.6301241,2.07646826,0.193456073,1.883012187,CO2,mp-556034
2.2110307,-1.3696865,-0.8855219,-0.6336452,0.7054392,-0.21725672,-0.17215355,-0.33281726,-0.48007366,-1.1304315,1.3851966,0.019131986,0.900833,-1.0308713,1.0308263,2.077496053,0.212375633,1.86512042,CO2,mp-20066
1.7969713,-1.5342658,-1.0578203,-0.18566442,0.6931495,0.10101195,0.28818178,-0.5920118,-0.3689087,-1.4561145,1.1380315,-0.096672684,0.70776546,-0.9652291,1.5315758,2.112508733,0.221783783,1.89072495,CO2,mp-11725
1.6658875,-0.48253083,-0.7890998,0.30386037,1.2471228,-0.17162739,0.8196291,-0.7177501,-1.1287106,-1.4314145,0.6793025,-0.10790284,0.6598159,-1.7093155,1.1627336,2.129172643,1.129172643,1,Si3Ag3(SnP3)2,mp-18310
1.7453961,-0.6608109,-0.555221,0.3596396,0.4782009,-0.459705,1.0219239,-0.6345471,-1.0203229,-1.7155952,0.63686866,0.80153733,0.59146816,-1.6428585,1.0540261,2.145893997,0.444654513,1.701239483,PF5,mp-8511
1.5924486,-0.42888692,-0.8625603,0.045779973,1.0886251,-0.18752587,1.3691074,-0.5992794,-1.2445917,-1.4816763,0.5169814,0.5705731,0.26071152,-1.6370988,0.9973921,2.14752879,0.433110917,1.714417873,SF6,mp-8560
1.8072278,-1.1723822,-1.2205402,-0.17970634,0.823393,-0.09794128,0.18258886,-0.32744768,-0.70662904,-1.5266137,1.1076736,0.59072405,0.49236274,-1.1777004,1.4049908,2.16252577,0.197198583,1.965327187,CO2,mp-644607
2.0022182,-0.82944185,-0.7204934,0.40997484,0.52228904,-0.3415605,0.29169852,-0.20080596,-1.0602497,-1.2895821,0.7286493,0.6982053,0.5249754,-1.908886,1.1730084,2.16889963,0.538604293,1.630295337,SiF4,mp-1818
2.2220562,-1.3504303,-0.4279482,0.20914528,0.13475701,-0.2933305,-0.082322806,-0.114031516,-0.57527244,-1.2783748,1.2151706,-0.31332877,1.1314378,-1.454014,0.976486,2.18867938,0.563808523,1.624870857,BF3,mp-558149
2.2139547,-1.2802285,-0.6604982,-0.020601232,0.64185894,-0.4058866,-0.5577063,0.051138643,-0.63479435,-1.3153325,1.0849929,0.54031175,0.24949162,-1.2692927,1.362592,2.195219853,0.16372906,2.031490793,BCl3,mp-23184
1.8797644,-1.0186046,-0.2872973,-0.06751638,0.34955603,-0.42610535,0.0983026,-0.19851641,-0.79272914,-1.564802,1.2784783,0.88842934,0.15114883,-1.6321828,1.3420749,2.213265673,0.33209927,1.881166403,CClF3,mp-28473
2.1293921,-1.0346508,-0.61498636,0.21882549,1.050388,-0.6022839,1.2087843,-0.6066323,-0.84271926,-1.2860687,0.43798107,0.37439474,-0.2014784,-1.3217735,1.0908276,2.287834197,0.32852852,1.959305677,NO2,mp-557865
1.2445772,-0.85786015,-0.1728774,0.12024316,0.56176287,-0.15688936,0.71344024,-0.12684508,-1.1933852,-1.3175848,1.1690555,0.36587504,0.2936718,-2.1724708,1.529287,2.287892913,0.85009695,1.437795963,BeF2,mp-559400
1.4013065,-0.5667733,-1.0245322,0.66195875,0.81579494,-1.0033481,0.40480816,0.08961214,-1.2961332,-1.2078768,0.6603765,1.0457072,-0.43731907,-1.2582365,1.7146552,2.325346723,0.525786173,1.79956055,S(OF)2,mp-8537
2.0778143,0.1364862,-0.7476375,0.009370936,0.43270147,-0.4078046,1.0291593,-0.41954163,-1.2308187,-0.80353,0.8692613,-0.22908087,0.7405781,-2.1316316,0.6746729,2.353924337,0.537385497,1.81653884,AsF5,mp-8723
1.9949778,-1.0646212,-0.37111422,-0.031646002,0.59240544,-0.16071738,0.64735293,-0.3699763,-0.60627383,-1.5008409,1.4140902,0.06241445,0.64822197,-1.8487425,0.5944694,2.364603643,0.18930882,2.175294823,CSO,mp-28240
1.5970852,-0.34566858,-0.7225766,0.35751572,0.08735757,-0.6957218,0.47010225,0.05478268,-1.1839992,-1.4714684,1.0911423,0.745532,0.5469751,-1.8795955,1.3485376,2.371682143,0.150870303,2.22081184,BBr3,mp-23225
1.6314086,-0.30923098,-1.2772305,0.5317502,0.4492628,-0.79485255,1.2460462,-0.41193813,-0.79877996,-1.5601058,0.081519425,0.95217717,0.41680428,-1.4203216,1.2634904,2.374832827,0.615616167,1.75921666,SF6,mp-975
1.7380748,-0.7048993,-0.942131,0.6582179,0.48034218,-0.74710256,0.97485507,-0.333848,-1.0101932,-1.4742249,0.8018184,0.5367893,0.48880124,-1.6185141,1.1520145,2.40144906,0.29163419,2.10981487,SiCl4,mp-28391
1.959648,-1.0526775,-0.4173478,-0.7570981,0.70365995,-0.029149905,0.7820016,-0.44234964,-0.83321136,-0.9724042,1.1210139,0.6097341,0.6168975,-1.9713342,0.68261755,2.413913567,0.200604917,2.21330865,SiH8,mp-972825
2.1694765,-0.8916862,-1.4534343,0.7955597,0.26146242,-0.74553317,0.23094599,-0.34474,-0.42588505,-1.5048279,0.74673027,0.4789264,0.44938838,-0.9999439,1.2335608,2.428072657,0.41171022,2.016362437,C(ClF)2,mp-22966
2.1650753,-0.065566726,-1.3404335,0.2282179,0.53812814,-0.49590996,0.7178388,-0.01862257,-0.5504238,-1.429166,0.77498996,-0.282961,1.0777595,-1.7435558,0.42462978,2.43962579,0.584732343,1.854893447,TeF6,mp-1396578
1.8294693,-1.5559419,-0.81092966,0.35614386,0.016455999,-1.118867,0.68132114,-0.33881536,-0.46513727,-1.6222969,0.78487766,0.7520169,0.7638331,-0.5683394,1.2962096,2.461572583,0.584847573,1.87672501,C2O3F2,mp-31306
1.2030653,-0.25593102,-1.2560587,0.032755647,0.025311496,-0.41965193,0.179808,0.2169309,-0.76039934,-1.8165501,0.8559049,1.235487,1.0404751,-1.6226202,1.3414727,2.465750987,0.60122626,1.864524727,TeF6,mp-1875
2.0665507,-1.5024279,-0.034969166,-0.117979735,-0.10716222,-0.048889246,0.6886297,-0.84006596,-0.80161726,-0.6622438,1.3105767,0.35169914,0.4071577,-1.7552096,1.0459511,2.47443799,0.259201757,2.215236233,SiH4,mp-23739
1.8758576,0.20139362,-1.5832237,0.709265,0.52442265,-0.39785683,0.1760307,-0.0029579173,-0.82101154,-1.1579039,0.60536826,0.8212453,0.65977836,-2.0659122,0.45550483,2.502760137,0.52536326,1.977396877,IF7,mp-27988
1.8500193,-1.7218705,-0.305233,0.18412447,-0.0069472888,-0.34000477,0.2777599,-0.4286041,-0.0071843127,-1.5424781,1.247439,0.52554303,0.9704289,-1.5152141,0.8122215,2.50312693,0.357175773,2.145951157,H4C2O,mp-995219
1.8930742,-0.057675492,-0.38238254,0.95338017,-0.34663558,-0.49282026,0.8067679,-0.27018023,-1.2977953,-1.0845697,0.90699416,-0.12431992,0.5229493,-2.057979,1.0311923,2.516907557,0.245253517,2.27165404,TiCl4,mp-30092
1.9143516,-1.0845646,-1.3742945,0.79741144,0.06053886,-0.9565097,0.3860825,0.02645614,-0.3555316,-1.8451681,0.75911367,1.0533665,0.89865494,-0.64111406,0.36120677,2.551469053,0.323592843,2.22787621,NO2,mp-1771
2.1714287,-0.28225887,-0.3502567,1.0678849,-0.54636586,-0.5895791,1.3755687,-0.43364403,-0.597973,-1.4427451,0.53670055,-0.73366374,0.30386123,-1.4106458,0.93168765,2.554874287,0.633655837,1.92121845,MoF6,mp-558836
1.5226912,-0.2405078,-1.0688456,0.7867006,-0.45187107,-1.1963402,0.21330544,0.6776872,-1.1362016,-0.88739955,1.0282981,0.3747179,1.0509503,-1.7709236,1.0977385,2.564171893,0.396589943,2.16758195,GeCl4,mp-30086
2.3029518,-1.0754648,0.012734207,0.6776998,-0.59615755,-0.91796124,1.032863,-0.18347143,-0.6621836,-1.6293004,1.0622606,0.07566209,0.5440122,-1.0468701,0.40322497,2.56827766,1.05125022,1.51702744,BeF2,mp-561543
2.4858317,-1.0834633,-0.21440811,0.36593047,-0.63933176,-0.4846671,1.0141474,-0.4088791,-0.55435777,-1.7891806,0.68685794,-0.06698078,0.9138546,-0.738043,0.51268923,2.58510208,0.791876273,1.793225807,PHF4,mp-29514
1.9421136,-0.062960476,-0.50453913,0.86696374,-0.1772425,-0.6293342,1.0910683,-0.5975246,-1.1150923,-1.2277061,1.1764616,0.07577019,0.14331844,-1.8323772,0.851081,2.599277753,0.592619587,2.006658167,K3WF6,mp-555403
1.7593882,-0.607917,-0.9896208,0.9945778,-0.95195186,-1.3459038,0.7818927,-0.07144677,-1.0129969,-1.3895699,1.2181427,0.77079237,0.63501906,-0.51645285,0.7260467,2.608811343,0.265287963,2.34352338,SiBr4,mp-570285
1.6760564,-1.3538294,0.28340632,-0.19233058,0.20666459,0.11030271,0.670915,-0.28220728,-0.47994104,-1.4176518,1.2711687,-0.16674219,0.57954526,-2.0379908,1.132634,2.620371547,0.63201313,1.988358417,SiH3F,mp-28289
2.018069,-1.3178171,-1.0830957,0.1337125,0.07277676,-1.0462053,1.0738639,-0.09247449,-0.31333697,-1.734694,0.4586787,0.801713,0.6401402,-0.6094944,0.9981641,2.632828977,0.40699872,2.225830257,NO2,mp-2789
1.9925185,-0.91507804,-1.6388984,0.42883024,-0.3372388,-0.7011718,0.06778065,0.046411633,-0.46112403,-1.6892871,1.4875085,0.68649876,0.20554006,-0.12246292,0.95017254,2.637430347,0.488414187,2.14901616,SiCl2O,mp-23563
1.8600996,-0.12591815,-0.20176846,0.59074765,-0.6010242,-0.47510973,0.6818442,-0.7330343,-1.1014004,-1.0868343,1.4389479,0.10697148,1.0704937,-1.918029,0.4940139,2.64446985,0.166108026,2.478361825,OsO4,mp-551905
