feature,importance_mean,importance_std
0,-0.0037260538590600085,0.008711403021103983
1,0.023786442790118368,0.012037081553544807
2,0.01355159434263363,0.008265260193502535
3,0.1256332143978792,0.027539731175171472
4,0.18111594356576483,0.04399324113530842
5,0.0923339438614533,0.018089657939769552
6,0.03248026178340536,0.009362409781483816
7,0.15680201253735185,0.023019544760842947
8,0.1584341461583075,0.027913353411405523
9,0.12033250628544957,0.01762283739276795
10,0.0786507092714358,0.016085978542138057
11,0.019633353448360827,0.015764884014982165
12,0.020828093281686843,0.01622773316158294
13,0.11028590197827536,0.0232821119054767
14,0.016003314118866165,0.010260505206944664
